CIFName,MaxInPlane,MinInPlane,MaxOutPlane,MinOutPlane,MaxTilt,MinTilt,MaxOctAngleVariance,MinOctAngleVariance
Br_1_01011111.vasp,47.33414840936072,18.442835970936272,17.674417671590533,1.5797009552762233,47.13432487126019,19.019017507525348,97.53889571219243,28.270995597172433
Br_1_10100000.vasp,46.5166716802315,18.27360686884859,16.394784608323988,0.6034127553590451,46.357626252784996,19.181006071982438,97.42392351840888,26.059448116639075
Br_1_10100101.vasp,42.33507997501755,20.934501767444544,14.899252752481772,0.0906956139635895,42.33516057829081,20.951233198264163,93.30887217847506,7.175873506684385
Br_1_10101010.vasp,36.339764572759236,33.647596112093794,16.53180259151256,0.5648388259785122,36.45727362806974,34.05580453240003,96.04915519244732,12.940249172250919
Br_1_10101111.vasp,47.218958365965136,18.58460386496475,17.500704473689012,1.8104533867595762,47.022377721526794,19.098196527407538,97.04013133176869,21.06543880946368
Br_1_11110000.vasp,44.41061183884315,15.294120875983452,15.046479206243419,0.07645476946174767,44.409830957145346,15.291441085173005,98.31788062628914,42.80186253870409
Br_1_11110101.vasp,46.56386960514351,18.82410750486514,16.79447610384952,1.1719281166678286,46.301478557958376,19.609587386830185,96.86761868167974,19.95612050466132
Br_1_11111010.vasp,47.48934817848013,18.06622732552566,17.26448587121257,1.0559609558148395,47.20573817846997,19.11039799564034,97.24240828933479,28.012256010776696
Br_1_11111111.vasp,34.708254476165536,33.22903004155265,13.774445370321615,12.11438976630447,37.04507927449302,35.145510768363096,93.43158692140238,5.841270978692165
Cl_0_00000000.vasp,29.31525562204061,29.024489812057993,0.8022271788841522,0.3567844418312518,29.325302647600722,29.026500796144205,96.65545466634302,18.398609613309944
Cl_0_00000101.vasp,37.01136565005859,25.961245233777476,7.004454725774025,0.11366825193209706,37.229045938748214,26.79283977907454,95.57229413498332,13.78154111449324
Cl_0_00001010.vasp,36.687542813089664,25.784374238425386,7.107334996488419,0.03326782747069501,36.93046490971028,26.58481890628252,101.44953789156123,25.283313829400267
Cl_0_00001111.vasp,35.53821078649125,22.579638412844048,0.9279584709261428,0.08702572718183887,35.53899992528628,22.57788273576253,96.15548300290766,16.768512946783208
Cl_0_01010000.vasp,36.876360859867674,26.50776529945287,8.030996784946808,0.18396919833179481,37.05331923822183,26.847818612453437,101.38669198741445,24.88343059630699
Cl_0_01010101.vasp,33.28974089582826,30.814270583248202,14.5737477074791,1.0700111171045137,33.9783335032547,31.267976153962735,98.62835710723014,28.693358579066015
Cl_0_01011010.vasp,33.5967174554323,27.85725870255891,0.8010073061082892,0.2257461166946655,33.59831322592203,27.85836533295125,93.69963538988794,10.4007642289493
Cl_0_01011111.vasp,36.252558906740404,25.665824130856095,7.51057516486307,0.9290252769942811,36.42302987513074,26.647006212676104,99.12325069024233,17.999459546250854
Cl_0_10100000.vasp,36.57397039025685,26.325662700757704,8.183098466011955,0.17597462883122716,36.74133516974206,26.629895123274054,95.91127050089707,13.724110206073105
Cl_0_10100101.vasp,33.55543121184843,28.059319708356185,0.6633637450273966,0.0983802822222799,33.5568270956295,28.061071412555748,92.34419643513723,2.540901614746015
Cl_0_10101010.vasp,32.41894714566189,30.052617983329156,14.471852600546725,0.2662992804396822,33.11167465112601,30.46065798324625,98.76126519597756,28.518566267269055
Cl_0_10101111.vasp,36.32106271406599,25.99963354790171,7.855820082630714,0.6731247252259038,36.548486316720584,26.868269058539028,96.54292386231549,17.93427784560517
Cl_0_11110000.vasp,36.08803635282922,22.563935603240736,0.9757720872516131,0.09714795868191572,36.09036909173835,22.563182558767494,96.21814273686157,17.2190315860546
Cl_0_11110101.vasp,36.31356928698389,26.391914059219516,8.316076684961445,0.5920420687328658,36.59043037548568,26.76082332059454,96.12746534167778,16.748801397816003
